{ year:2012, hour: 4, Pos: 37, Neg: 30, Neut: 31, tPos: 4922, TNeg: 4053, TNeut: 4207 } 
{ year:2012, hour: 5, Pos: 37, Neg: 31, Neut: 31, tPos: 4513, TNeg: 3775, TNeut: 3758 } 
{ year:2012, hour: 6, Pos: 36, Neg: 31, Neut: 31, tPos: 4579, TNeg: 3951, TNeut: 3987 } 
{ year:2012, hour: 7, Pos: 36, Neg: 32, Neut: 30, tPos: 4602, TNeg: 3999, TNeut: 3838 } 
{ year:2012, hour: 8, Pos: 37, Neg: 31, Neut: 31, tPos: 2304, TNeg: 1936, TNeut: 1958 } 
{ year:2012, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2012, hour: 10, Pos: 34, Neg: 33, Neut: 32, tPos: 2075, TNeg: 2021, TNeut: 1928 } 
{ year:2012, hour: 11, Pos: 34, Neg: 33, Neut: 31, tPos: 4158, TNeg: 4075, TNeut: 3769 } 
{ year:2012, hour: 12, Pos: 33, Neg: 34, Neut: 31, tPos: 4603, TNeg: 4717, TNeut: 4305 } 
{ year:2012, hour: 13, Pos: 33, Neg: 35, Neut: 30, tPos: 4584, TNeg: 4772, TNeut: 4148 } 
{ year:2012, hour: 14, Pos: 34, Neg: 35, Neut: 30, tPos: 4182, TNeg: 4301, TNeut: 3755 } 
{ year:2012, hour: 15, Pos: 32, Neg: 35, Neut: 31, tPos: 2845, TNeg: 3120, TNeut: 2732 } 
{ year:2012, hour: 16, Pos: 34, Neg: 35, Neut: 30, tPos: 1826, TNeg: 1831, TNeut: 1571 } 
{ year:2012, hour: 17, Pos: 33, Neg: 35, Neut: 31, tPos: 919, TNeg: 973, TNeut: 874 } 
{ year:2012, hour: 18, Pos: 31, Neg: 37, Neut: 30, tPos: 499, TNeg: 599, TNeut: 481 } 
{ year:2012, hour: 19, Pos: 34, Neg: 33, Neut: 31, tPos: 381, TNeg: 377, TNeut: 354 } 
{ year:2012, hour: 20, Pos: 34, Neg: 36, Neut: 29, tPos: 436, TNeg: 464, TNeut: 382 } 
{ year:2012, hour: 21, Pos: 34, Neg: 33, Neut: 31, tPos: 532, TNeg: 514, TNeut: 478 } 
{ year:2012, hour: 22, Pos: 35, Neg: 31, Neut: 32, tPos: 1001, TNeg: 881, TNeut: 903 } 
{ year:2012, hour: 23, Pos: 37, Neg: 32, Neut: 30, tPos: 2073, TNeg: 1780, TNeut: 1690 } 
{ year:2013, hour: 0, Pos: 38, Neg: 29, Neut: 31, tPos: 13660, TNeg: 10422, TNeut: 11135 } 
{ year:2013, hour: 1, Pos: 38, Neg: 29, Neut: 31, tPos: 14823, TNeg: 11413, TNeut: 12121 } 
{ year:2013, hour: 2, Pos: 41, Neg: 26, Neut: 31, tPos: 8606, TNeg: 5545, TNeut: 6387 } 
{ year:2013, hour: 3, Pos: 40, Neg: 28, Neut: 31, tPos: 8245, TNeg: 5899, TNeut: 6421 } 
{ year:2013, hour: 4, Pos: 39, Neg: 28, Neut: 31, tPos: 8159, TNeg: 5873, TNeut: 6427 } 
{ year:2013, hour: 5, Pos: 40, Neg: 27, Neut: 31, tPos: 8055, TNeg: 5563, TNeut: 6383 } 
{ year:2013, hour: 6, Pos: 38, Neg: 29, Neut: 31, tPos: 7651, TNeg: 5872, TNeut: 6363 } 
{ year:2013, hour: 7, Pos: 38, Neg: 29, Neut: 31, tPos: 7861, TNeg: 5993, TNeut: 6495 } 
{ year:2013, hour: 8, Pos: 36, Neg: 31, Neut: 31, tPos: 3527, TNeg: 3058, TNeut: 3089 } 
{ year:2013, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2013, hour: 10, Pos: 36, Neg: 30, Neut: 33, tPos: 3567, TNeg: 2993, TNeut: 3245 } 
{ year:2013, hour: 11, Pos: 35, Neg: 32, Neut: 32, tPos: 6933, TNeg: 6342, TNeut: 6386 } 
{ year:2013, hour: 12, Pos: 36, Neg: 31, Neut: 32, tPos: 7626, TNeg: 6670, TNeut: 6747 } 
{ year:2013, hour: 13, Pos: 35, Neg: 32, Neut: 31, tPos: 7482, TNeg: 6764, TNeut: 6623 } 
{ year:2013, hour: 14, Pos: 36, Neg: 32, Neut: 31, tPos: 6498, TNeg: 5888, TNeut: 5646 } 
{ year:2013, hour: 15, Pos: 35, Neg: 32, Neut: 31, tPos: 4713, TNeg: 4413, TNeut: 4259 } 
{ year:2013, hour: 16, Pos: 34, Neg: 33, Neut: 31, tPos: 3096, TNeg: 2958, TNeut: 2834 } 
{ year:2013, hour: 17, Pos: 33, Neg: 32, Neut: 33, tPos: 1751, TNeg: 1705, TNeut: 1764 } 
{ year:2013, hour: 18, Pos: 32, Neg: 34, Neut: 33, tPos: 1072, TNeg: 1125, TNeut: 1093 } 
{ year:2013, hour: 19, Pos: 36, Neg: 31, Neut: 32, tPos: 862, TNeg: 744, TNeut: 774 } 
{ year:2013, hour: 20, Pos: 34, Neg: 29, Neut: 35, tPos: 818, TNeg: 706, TNeut: 846 } 
{ year:2013, hour: 21, Pos: 35, Neg: 30, Neut: 33, tPos: 1039, TNeg: 898, TNeut: 968 } 
{ year:2013, hour: 22, Pos: 40, Neg: 29, Neut: 30, tPos: 2073, TNeg: 1507, TNeut: 1582 } 
{ year:2013, hour: 23, Pos: 39, Neg: 29, Neut: 30, tPos: 3722, TNeg: 2781, TNeut: 2903 } 
{ year:2014, hour: 0, Pos: 38, Neg: 29, Neut: 32, tPos: 31028, TNeg: 24166, TNeut: 26177 } 
{ year:2014, hour: 1, Pos: 39, Neg: 29, Neut: 31, tPos: 32455, TNeg: 24530, TNeut: 26035 } 
{ year:2014, hour: 2, Pos: 40, Neg: 28, Neut: 30, tPos: 17130, TNeg: 11979, TNeut: 12921 } 
{ year:2014, hour: 3, Pos: 40, Neg: 28, Neut: 31, tPos: 17239, TNeg: 12287, TNeut: 13536 } 
{ year:2014, hour: 4, Pos: 39, Neg: 28, Neut: 31, tPos: 16808, TNeg: 12349, TNeut: 13687 } 
{ year:2014, hour: 5, Pos: 38, Neg: 29, Neut: 32, tPos: 16227, TNeg: 12203, TNeut: 13379 } 
{ year:2014, hour: 6, Pos: 38, Neg: 29, Neut: 32, tPos: 16390, TNeg: 12598, TNeut: 13713 } 
{ year:2014, hour: 7, Pos: 38, Neg: 30, Neut: 31, tPos: 15965, TNeg: 12585, TNeut: 13103 } 
{ year:2014, hour: 8, Pos: 37, Neg: 31, Neut: 31, tPos: 7574, TNeg: 6412, TNeut: 6436 } 
{ year:2014, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2014, hour: 10, Pos: 36, Neg: 30, Neut: 32, tPos: 8245, TNeg: 6961, TNeut: 7362 } 
{ year:2014, hour: 11, Pos: 35, Neg: 31, Neut: 32, tPos: 15497, TNeg: 13781, TNeut: 14028 } 
{ year:2014, hour: 12, Pos: 35, Neg: 32, Neut: 32, tPos: 16095, TNeg: 14892, TNeut: 14602 } 
{ year:2014, hour: 13, Pos: 35, Neg: 32, Neut: 31, tPos: 15827, TNeg: 14742, TNeut: 14338 } 
{ year:2014, hour: 14, Pos: 34, Neg: 33, Neut: 32, tPos: 13640, TNeg: 12984, TNeut: 12577 } 
{ year:2014, hour: 15, Pos: 34, Neg: 33, Neut: 31, tPos: 10577, TNeg: 10199, TNeut: 9767 } 
{ year:2014, hour: 16, Pos: 34, Neg: 32, Neut: 32, tPos: 7309, TNeg: 6911, TNeut: 6843 } 
{ year:2014, hour: 17, Pos: 32, Neg: 32, Neut: 34, tPos: 4018, TNeg: 4027, TNeut: 4273 } 
{ year:2014, hour: 18, Pos: 33, Neg: 32, Neut: 34, tPos: 2827, TNeg: 2673, TNeut: 2847 } 
{ year:2014, hour: 19, Pos: 34, Neg: 31, Neut: 33, tPos: 2180, TNeg: 2016, TNeut: 2139 } 
{ year:2014, hour: 20, Pos: 34, Neg: 30, Neut: 34, tPos: 2291, TNeg: 2018, TNeut: 2256 } 
{ year:2014, hour: 21, Pos: 36, Neg: 30, Neut: 33, tPos: 2942, TNeg: 2459, TNeut: 2687 } 
